Dramatic Star☆Sentai DraStars -Fierce Battle! Double Devils-,2016,mobage,event,dramatic-stars w,,https://sidem.miraheze.org/wiki/Dramatic_Star%E2%98%86Sentai_DraStars_-Fierce_Battle!_Double_Devils-,,
White Day Live 2016,2016,mobage,event,mixed kaoru rei ren shiki shouta,,https://docs.google.com/document/d/1ioRGVJp8KoKwlQiQqwYKY7FHksLsMUrVEt29IlDNeu8/edit,neumuruoogarasu,
Arabian Night Live,2016,mobage,event,cafe-parade,,https://sidem.miraheze.org/wiki/Arabian_Night_Live,madoka_asuran,
The Birdcage Rondo,2016,mobage,event,dramatic stars sem,,https://mitsubato.wordpress.com/2020/03/09/event-story-birdcage-rondo/,mitsuba_to,
Idols in Wonderland,2016,mobage,event,f-lags mofumofuen,,https://docs.google.com/document/d/e/2PACX-1vTOKyxpTSxM4YcFqJj7b0ix9k_nfFIZWYFXGXiO8Lk-B1mif0_rjusrbYKvp8OgMxISnYwAXr9n1vvQ/pub,habatakisoul,
Wonderful Animal Live,2016,mobage,event,w highxjoker haruna shiki jun,,https://sidem.miraheze.org/wiki/Wonderful_Animal_Live,markun,
Take a Breath☆Coffee Break,2016,mobage,event,cafe-parade,Translated by madoka_asuran.,https://docs.google.com/document/d/12nLbe3-pa4FznS-q8w24rUtw_3yWsW7vNeD2eCbO_k4/edit,madoka_asuran,
Take a Breath☆Coffee Break,2016,mobage,event,cafe-parade,Translated by jungrocks.,https://jungrocks.home.blog/2019/08/10/tl-notes-sidem-mobage-coffee-break-event/,jungrocks,
Melon Fair Live,2016,mobage,event,beit sai,,https://saikouparty.home.blog/2019/07/03/event-translation-merrymaking-melon-fair-live/,angelengage chine,
Happy Bridal Park,2016,mobage,event,sem,,https://pastebin.com/7D72gFVR,,
Space Stars Festa,2016,mobage,event,f-lags cafe-parade kamiya makio,,https://habatakisoul.tumblr.com/post/173930327745/the-idolmster-sidem-space-stars-festa,habatakisoul,
2nd Anniversary Live ~Words of Appreciation~,2016,mobage,event,dramatic-stars high-x-joker,,https://mitsubato.wordpress.com/2020/03/09/event-story-2nd-anniversary-live-words-of-gratitude/,mitsuba_to,
2nd Anniversary Live ~Forward into the Future~,2016,mobage,event,beit sem,,https://docs.google.com/document/d/1Sw-yZ4P172ZKlHwUFbtEZF4IAen2kSt5ZRF1V3HxklI/edit#heading=h.qz6w1je6d6w6,nemuruoogarasu,
HEAT UP SUMMER LIVE,2016,mobage,event,frame kogadou,,https://sidem.miraheze.org/wiki/HEAT_UP_SUMMER_LIVE,dingzhu,
Cosmetic Tonight,2016,mobage,event,sai cafe-parade,,https://sidem.miraheze.org/wiki/Cosmetic_Tonight,dingzhu,
The Most Frightening Mysterious Legend ~A Trembling Melody~,2016,mobage,event,altessimo jupiter,,https://docs.google.com/document/d/1Q__o-8gqxGEk0rlJQ4PNQuoWEVwYFxkUSZeD9tu-W40/edit,nemuruoogarasu,
Traditional Japanese Craft-Making Team,2016,mobage,event,shinsoku-ikkon f-lags,,https://sidem.miraheze.org/wiki/Traditional_Japanese_Craft-Making_Team,postscriptress habatakisoul,
Best Game ~Whom Shall Lady Luck Smile Upon?~,2016,mobage,event,sem cafe-parade asselin soichiro,,https://docs.google.com/document/d/1FURhm5S6WM9w8j3EQF3vb3YIc3MmBF79t86Iy-fK_HY/edit,dingzhu,
Idol TV! Fall's Great Athletic Meet 2016,2016,mobage,event,the-kogadou w,,https://docs.google.com/document/d/1qwhKLykPgVU5p8y4rT0n00KH71y8SS_XpMARKXve1g8/edit?usp=sharing,pen_dag,
Dream Ship Party Live,2016,mobage,event,f-lags,,https://docs.google.com/document/d/e/2PACX-1vQOe2C0vIpAtQTRSIirzcfC9ePxcq2NSSW3ElumHuNyybf7BQ3wW_VZdzWF1OI1Y_KVWw1PtwWLnlPM/pub,habatakisoul,
Checkmate! ~Ruler of the Board~,2016,mobage,event,beit legenders,,http://www.twitlonger.com/show/n_1sptedq,,
Halloween Night Party 2016,2016,mobage,event,dramatic-stars cafe-parade kamiya saki,,https://allnornothing.wordpress.com/2021/10/31/sidemoba-eventstory_2016_100-halloween2016/,stamff,
Paranormal Academy ~Awakening Trump Card~,2016,mobage,event,high-x-joker,Translated by nabstranslate.,https://sidem.miraheze.org/wiki/Paranormal_Academy_~Awakening_Trump_Card~,nabstranslate,
Paranormal Academy ~Awakening Trump Card~,2016,mobage,event,high-x-joker,Translated by nemuruoogarasu.,https://docs.google.com/document/d/19H4c_Chv2thtWcu5qFu3GHDqbmgoDpOzNHLFhoDsDb8/edit,nemuruoogarasu,
Baile of Love and Passion,2016,mobage,event,cafe-parade,,https://sidem.miraheze.org/wiki/Baile_of_Love_and_Passion,madoka_asuran,
ORIGIN@L PIECES LIVE in Sendai,2016,mobage,event,mixed kyoji rei ryo ryu shoma,,https://docs.google.com/document/d/1WINvFgXrcX28kyY_3zhinngcM5NlTFacaKCn9HmjeJY/edit?usp=sharing,pen_dag,
ICE KINGDOM LIVE,2016,mobage,event,jupiter legenders,,https://sidem.miraheze.org/wiki/ICE_KINGDOM_LIVE,takanoko,
WILD BOYS ~Fists of Fury~,2017,mobage,event,f-lags jupiter,,https://www.youtube.com/watch?v=l8ekrlURbcg,,voiced
Three Kingdoms Chronicles ~The Strategists of Superior Beauty~,2017,mobage,event,shinsoku-ikkon,,https://docs.google.com/document/d/1bRak_vP0uEzlaMPlZ0_o6gBH2xcmgoVT5jq22GIOLHc/edit?usp=sharing,anonymous,
Aside Famille ~Hopes United~,2017,mobage,event,shinsoku-ikkon f-lags,,https://docs.google.com/document/d/1b5KZvoVjMdOv9OuRDVqbhIF1rK_hMXFCq7HN_liXeu4/edit,,
Outdoor Music Festival 2017,2017,mobage,event,frame high-x-joker natsuki shiki,,https://docs.google.com/document/d/1iZuvHwssw8SLMRw7Lwu2dVxDf0-i22QQBFKyBIUignY/edit,,
Retro Coffee Shop,2017,mobage,event,cafe-parade,,https://sidem.miraheze.org/wiki/Retro_Coffee_Shop,,
DOUBLE WING LIVE,2017,mobage,event,mofumofuen w,,https://www.youtube.com/watch?v=ybMJBkh1UNs,vega,voiced
Heavenly Gods Picture Scroll,2017,mobage,event,sai cafe-parade asselin makio,,https://docs.google.com/document/d/1nuvmxoih4qOpPtGL9c6A1kzhrB6iN8c5VOOQfSM7GMQ/edit#heading=h.rj4x5tjn9gbi,,
